domain,entity,weight,note
kyc,natural_person,15,personnes physiques — bien plus nombreuses en KYC
legal,lawyer,1,avocats et juristes
legal,client,10,clients par avocat
legal,hearing,15,audiences par dossier
legal,case,20,dossiers par client
legal,case_document,200,documents par dossier (~10 docs/dossier, plaidoiries + motions)
legal,billing_entry,300,entrées de facturation par dossier
logistics,carrier,1,transporteurs
logistics,shipment,50,expéditions par transporteur
logistics,package,200,colis par expédition (~4 par envoi)
logistics,delivery,200,livraisons (une par colis)
manufacturing,product_bom,1,nomenclatures produits
manufacturing,supplier_part,5,composants par nomenclature
manufacturing,manufacturing_order,10,ordres de fabrication
manufacturing,batch,30,lots par ordre (~3 lots/MO)
manufacturing,quality_control,30,contrôles qualité par lot
maritime,shipping_line,1,compagnies maritimes
maritime,vessel,15,navires par compagnie
maritime,voyage,50,trajets par navire (~3-6 par an)
maritime,cargo_manifest,50,manifestes par trajet
media,publisher,1,maisons d'édition / médias
media,publication,5,périodiques / lignes éditoriales
media,author,30,auteurs par publication
media,review,200,critiques par article (~2 relecteurs/article, minimum pour peer review)
media,article,100,articles par auteur
mining,mine_site,1,sites miniers
mining,claim,5,concessions par site
mining,environmental_report,5,rapports environnementaux
mining,production_run,30,campagnes de production
nonprofit,program,1,programmes d'action
nonprofit,campaign,3,campagnes de levée de fonds par programme
nonprofit,grant,5,subventions par programme
nonprofit,volunteer,30,bénévoles par programme
nonprofit,donor,50,donateurs
nonprofit,donation,200,dons par donateur (~4 dons/donateur, 2x/an sur 2 ans)
pharma,drug,1,médicaments — peu nombreux
pharma,clinical_trial,3,essais cliniques par médicament (Phases I-II-III)
pharma,trial_site,10,sites par essai
pharma,adverse_event,100,événements indésirables (~1/sujet, 40-80% des sujets en réel)
pharma,subject,100,sujets par site
pharma,dispensation,600,délivrances par sujet (~6 visites/essai sur 6-12 mois)
publishing,publisher,1,maisons d'édition
publishing,author,5,auteurs par maison
publishing,book,20,livres par auteur (~3.6 livres/auteur en moyenne)
publishing,library_catalog,50,entrées de catalogue
publishing,patron,80,usagers par bibliothèque
realestate,property,1,biens immobiliers
realestate,property_owner,2,propriétaires par bien
realestate,property_ownership,2,enregistrements de propriété
realestate,listing,5,annonces par bien
realestate,sale_transaction,3,ventes par bien
renewable_energy,energy_asset,1,actifs de production d'énergie
renewable_energy,maintenance,3,opérations de maintenance (trimestriel + annuel)
renewable_energy,certificate,10,certificats d'origine
renewable_energy,energy_generation_record,365,relevés quotidiens de production
retail,store,1,magasins
retail,product,20,produits par magasin
retail,customer,50,clients
retail,sale,150,ventes par client (~3 transactions/client)
retail,sale_item,300,lignes de vente (~2 articles/vente, conforme NPD 2024)
social_media,user,2,utilisateurs
social_media,profile,2,profils (1 par utilisateur)
social_media,post,10,publications par utilisateur
social_media,engagement,140,interactions par publication (~14/post, source Sprout Social 2025)
social_media,connection,600,connexions par utilisateur (~300/user, médiane LinkedIn 400-500)
sports,team,1,équipes sportives
sports,competition,2,compétitions par saison
sports,transfer,2,transferts par club sur la période (~2.4/club/an FIFA 2024, soit ~0.13/athlète)
sports,athlete,15,athlètes par équipe
sports,contract,20,contrats par athlète
sports,game,50,rencontres par compétition
sports,game_stat,500,statistiques par rencontre (~10/jeu vs 490 en NBA réel — plafonné)
supplychain,carrier,1,transporteurs
supplychain,warehouse,2,entrepôts
supplychain,shipment,100,expéditions
supplychain,inventory_item,200,articles en stock
technology,saas_product,2,produits SaaS — peu nombreux
technology,support_ticket,20,tickets de support (~0.1/abonné, conforme benchmarks SaaS)
technology,subscriber,200,abonnés par produit
technology,subscription,240,abonnements souscrits (~1.2/abonné, Kaspersky 2024)
technology,license,240,licences attribuées
telecom,subscriber,2,abonnés
telecom,phone_line,3,lignes téléphoniques par abonné (~1.5, Ericsson Mobility 2025)
telecom,device,3,appareils par abonné
telecom,call_record,500,relevés d'appels — ratio réaliste ~100000x plafonné à 500x
travel,traveler,1,voyageurs
travel,hotel_stay,3,séjours hôteliers par voyageur (~15.3 nuits/an)
travel,booking,5,réservations par voyageur
travel,flight_segment,10,segments aériens par voyageur (~4/trajet AR avec corres)
